Timeframe,Open,High,Low,Close,Volume
1590472800000,8315.0,8422.56,8209.56,8244.64,41.666466
1590494400000,8240.39,8300.0,8075.18,8199.99,41.073591
1590516000000,8193.2,8234.0,8122.07,8199.83,16.545788
1590537600000,8200.24,8250.84,8136.44,8222.42,11.190886
1590559200000,8231.0,8481.94,8184.5,8447.0,39.612633
1590580800000,8454.56,8527.0,8421.03,8496.55,36.711761
1590602400000,8500.98,8523.51,8350.0,8480.57,19.591666
1590624000000,8485.1,8548.37,8434.3,8460.43,7.98917
1590645600000,8458.02,8529.98,8400.0,8526.43,24.016682
1590667200000,8527.17,8725.58,8501.55,8640.02,57.594732
1590688800000,8646.42,8690.0,8563.86,8664.11,26.236178
1590710400000,8668.69,8706.75,8587.18,8605.4,9.941981
1590732000000,8617.01,8686.04,8470.12,8508.63,28.543416
1590753600000,8504.51,8608.38,8486.29,8566.68,27.128764
1590775200000,8566.58,8600.0,8530.44,8575.28,7.785481
1590796800000,8574.85,8658.49,8501.95,8648.55,7.92547
1590818400000,8649.7,8686.03,8591.46,8622.06,22.13748
1590840000000,8625.61,8665.68,8597.32,8609.69,14.44651
1590861600000,8610.85,8785.0,8555.52,8733.18,31.558007
1590883200000,8725.74,8733.8,8599.75,8643.0,8.351486
1590904800000,8645.95,8671.46,8586.58,8634.47,9.908052
1590926400000,8649.3,8681.74,8543.0,8581.5,13.787399
1590948000000,8579.15,8619.85,8505.0,8540.19,11.404931
1590969600000,8518.72,8649.0,8514.03,8597.76,5.031017
1590991200000,8601.56,8634.0,8582.09,8588.0,10.300967
1591012800000,8588.0,8650.0,8572.18,8633.88,14.783829
1591034400000,8633.88,9192.77,8608.16,9048.99,72.054213
1591056000000,9048.99,9049.0,8897.71,9015.53,32.224738
1591077600000,9009.7,9062.39,9000.01,9026.11,43.904945
1591099200000,9025.14,9099.99,8386.11,8619.77,105.360211
1591120800000,8614.63,8653.0,8525.0,8619.35,25.909239
1591142400000,8588.15,8625.0,8493.39,8586.44,6.787567
1591164000000,8586.19,8680.0,8527.51,8671.89,26.874115
1591185600000,8671.9,8699.0,8587.26,8612.66,25.115932
1591207200000,8596.53,8666.41,8584.71,8655.26,20.021274
1591228800000,8650.39,8689.39,8623.41,8651.78,8.406764
1591250400000,8665.63,8716.93,8590.0,8687.48,35.414641
1591272000000,8685.93,8798.0,8665.33,8768.36,32.635188
1591293600000,8768.27,8833.0,8650.75,8691.02,24.208881
1591315200000,8682.18,8736.25,8660.42,8682.52,7.456952
1591336800000,8681.19,8750.0,8600.0,8635.44,26.504055
1591358400000,8642.17,8681.75,8582.58,8673.53,26.191835
1591380000000,8667.36,8700.78,8600.0,8602.0,11.262882
1591401600000,8613.73,8644.25,8540.63,8624.35,20.962382
1591423200000,8624.7,8675.18,8547.78,8655.58,14.484405
1591444800000,8666.5,8698.57,8598.0,8605.7,13.159006
1591466400000,8604.73,8697.2,8599.89,8649.74,12.22693
1591488000000,8650.72,8677.0,8637.43,8637.43,2.090324
1591509600000,8638.77,8674.44,8590.0,8601.0,14.501075
1591531200000,8609.0,8623.3,8451.09,8508.27,28.956182
1591552800000,8514.91,8744.55,8509.52,8684.8,26.439874
1591574400000,8684.36,8707.44,8653.82,8689.79,4.174897
1591596000000,8687.41,8721.73,8634.88,8700.0,22.801357
1591617600000,8700.0,8739.0,8625.0,8678.68,40.427886
1591639200000,8688.69,8720.65,8633.22,8719.55,13.839813
1591660800000,8720.0,8775.67,8593.76,8653.17,15.443449
1591682400000,8656.8,8700.0,8633.0,8700.0,21.549919
1591704000000,8700.0,8724.51,8583.74,8632.04,34.791883
1591725600000,8632.04,8700.0,8606.71,8665.42,12.990707
1591747200000,8652.85,8687.44,8638.96,8661.55,3.9700439999999997
1591768800000,8662.47,8679.0,8622.6,8642.37,38.435241
1591790400000,8639.4,8689.0,8636.46,8669.75,28.042073
1591812000000,8665.49,8800.0,8630.37,8731.44,34.443115
1591833600000,8745.0,8785.0,8699.33,8750.46,10.77628
1591855200000,8761.11,8763.97,8657.12,8689.32,39.063571
1591876800000,8679.97,8709.97,8123.69,8371.57,105.939405
1591898400000,8379.14,8406.41,8228.45,8285.13,46.698889
1591920000000,8288.01,8396.26,8268.51,8374.84,15.039776
1591941600000,8374.85,8487.0,8354.53,8474.05,34.270714
1591963200000,8476.9,8523.8,8353.57,8369.19,46.824644
1591984800000,8366.42,8500.0,8366.42,8485.0,11.279326
1592006400000,8485.0,8500.0,8386.45,8424.45,9.615321
1592028000000,8421.95,8487.5,8417.01,8431.97,9.574822
1592049600000,8432.57,8478.39,8365.5,8440.47,13.827774999999999
1592071200000,8440.02,8483.0,8383.2,8467.86,10.125151
1592092800000,8477.84,8480.56,8430.48,8435.98,1.91255
1592114400000,8437.23,8450.93,8392.56,8417.42,5.58242
1592136000000,8417.42,8427.0,8317.96,8392.88,10.696925
1592157600000,8375.8,8427.0,8273.73,8339.52,10.667757
1592179200000,8336.58,8360.21,8073.96,8116.71,25.353604
1592200800000,8083.94,8201.0,7950.0,8170.0,77.294137
1592222400000,8170.0,8384.73,8073.96,8340.01,38.668446
1592244000000,8342.08,8453.76,8341.66,8375.37,27.112812
1592265600000,8383.21,8500.0,8340.01,8454.26,17.453154
1592287200000,8456.01,8500.0,8365.99,8499.93,29.004896
1592308800000,8483.45,8550.0,8361.64,8464.57,38.274547
1592330400000,8461.96,8504.08,8436.01,8500.0,14.020756
1592352000000,8488.24,8520.0,8371.0,8412.47,13.306837
1592373600000,8415.97,8498.0,8400.83,8475.66,24.507459
1592395200000,8475.66,8540.0,8400.0,8440.93,51.740613
1592416800000,8438.34,8489.5,8300.0,8489.05,14.15971
1592438400000,8488.67,8489.5,8441.94,8466.01,6.940918
1592460000000,8470.52,8494.12,8430.42,8465.05,38.644644
1592481600000,8466.49,8489.99,8427.32,8447.23,34.958245
1592503200000,8446.68,8471.43,8355.69,8448.6,20.046504
1592524800000,8426.87,8432.77,8305.0,8363.82,10.648595
1592546400000,8363.82,8453.12,8305.51,8433.39,34.988866
1592568000000,8435.89,8473.2,8365.63,8397.5,38.226358
1592589600000,8393.17,8429.0,8344.87,8376.45,12.31572
1592611200000,8371.65,8409.37,8366.04,8381.59,2.917658
1592632800000,8381.59,8413.83,8275.11,8395.59,13.129419
1592654400000,8397.5,8400.0,8320.0,8344.32,10.221889000000001
1592676000000,8353.24,8434.29,8298.49,8411.29,15.427993
1592697600000,8419.53,8450.0,8388.41,8440.53,10.938832
1592719200000,8439.61,8470.0,8400.0,8410.15,7.701486
1592740800000,8412.69,8437.0,8382.65,8403.07,9.145362
1592762400000,8397.94,8413.15,8345.12,8352.68,7.883679
1592784000000,8347.84,8478.08,8339.94,8451.34,7.51721
1592805600000,8462.51,8481.15,8398.73,8479.58,28.551759
1592827200000,8480.0,8591.71,8449.82,8541.38,52.391272
1592848800000,8550.63,8682.18,8524.02,8615.86,36.466906
1592870400000,8623.11,8639.0,8557.32,8568.63,7.234313
1592892000000,8568.22,8600.0,8530.0,8580.58,32.91679
1592913600000,8577.58,8632.96,8535.0,8593.26,34.191219
1592935200000,8593.0,8629.0,8525.6,8540.05,15.45481
1592956800000,8542.73,8592.45,8536.04,8562.57,3.2945729999999998
1592978400000,8562.59,8592.81,8300.0,8334.77,79.0099
1593000000000,8322.49,8431.63,8250.0,8347.41,58.477489
1593021600000,8347.41,8386.31,8271.85,8323.66,19.978557
1593043200000,8301.56,8310.5,8102.63,8239.68,21.025329
1593064800000,8241.51,8357.67,8200.0,8309.23,42.855536
1593086400000,8309.8,8332.0,8229.83,8309.01,34.520963
1593108000000,8309.36,8344.2,8251.65,8285.97,10.289872
1593129600000,8285.05,8304.25,8230.83,8239.2,11.062783
1593151200000,8239.17,8293.5,8143.39,8247.58,63.974901
1593172800000,8257.86,8341.81,8149.68,8209.04,73.529946
1593194400000,8205.87,8298.05,8200.0,8228.75,18.100256
1593216000000,8228.33,8250.0,8183.12,8223.19,11.949273999999999
1593237600000,8229.74,8280.5,8193.76,8223.32,17.589628
1593259200000,8224.63,8245.0,8144.88,8152.28,21.156331
1593280800000,8150.51,8186.02,7980.0,8108.44,39.799665
1593302400000,8104.3,8106.3,8039.22,8060.99,2.287572
1593324000000,8060.95,8161.26,8052.18,8132.72,18.622259
1593345600000,8134.5,8245.13,8098.6,8197.54,14.432494
1593367200000,8199.59,8217.68,8145.0,8193.52,9.244698
1593388800000,8200.32,8241.84,8157.47,8177.29,12.878468
1593410400000,8176.77,8181.78,8091.67,8105.0,29.962326
1593432000000,8100.22,8175.0,8051.06,8175.0,27.437935
1593453600000,8175.0,8251.0,8150.88,8209.59,16.235975
1593475200000,8213.51,8221.87,8130.09,8149.4,5.47475
1593496800000,8161.26,8223.61,8143.0,8188.91,28.698626
1593518400000,8187.5,8229.83,8139.37,8189.66,56.780086
1593540000000,8186.5,8218.1,8133.36,8194.96,9.46676
1593561600000,8166.24,8220.0,8144.88,8190.88,8.802713
1593583200000,8194.4,8225.6,8175.54,8221.0,52.092179
1593604800000,8222.49,8300.0,8206.0,8290.45,64.535981
1593626400000,8299.22,8314.23,8234.04,8258.81,11.110326
1593648000000,8262.28,8280.54,8225.17,8225.31,6.074975
1593669600000,8224.31,8246.8,8172.0,8199.99,40.325069
1593691200000,8200.0,8269.97,8010.0,8122.07,62.277893
1593712800000,8122.14,8200.0,8087.78,8136.69,12.497644
1593734400000,8132.83,8167.0,8122.24,8155.93,4.250221
1593756000000,8159.76,8167.0,8101.09,8145.82,32.063266
1593777600000,8143.98,8176.41,8119.0,8128.33,25.818364
1593799200000,8137.35,8150.0,8097.7,8121.89,11.223617
1593820800000,8101.09,8142.68,8090.01,8133.79,2.954474
1593842400000,8133.79,8137.79,8100.47,8112.05,8.352676
1593864000000,8109.24,8215.11,8096.42,8200.0,19.68048
1593885600000,8200.91,8215.11,8149.14,8165.0,5.159561
1593907200000,8173.8,8179.22,8115.17,8116.93,2.634651
1593928800000,8122.74,8135.41,8055.0,8083.28,11.514625
1593950400000,8086.78,8112.44,8037.97,8078.44,19.388043
1593972000000,8078.23,8135.0,7959.0,8112.35,43.085411
1593993600000,8116.67,8142.04,8085.72,8108.03,6.325262
1594015200000,8118.32,8225.31,8115.61,8180.03,63.530914
1594036800000,8215.02,8287.1,8166.65,8286.23,39.078222
1594058400000,8271.02,8301.0,8218.01,8282.79,20.875941
1594080000000,8293.44,8294.34,8210.85,8229.25,9.637704
1594101600000,8237.76,8270.0,8205.41,8270.0,33.325246
1594123200000,8270.0,8282.93,8217.99,8264.88,36.062965
1594144800000,8263.45,8277.16,8211.0,8252.66,30.395013
1594166400000,8255.8,8302.0,8231.14,8266.71,18.292055
1594188000000,8272.39,8345.48,8257.92,8294.97,59.717604
1594209600000,8295.39,8415.0,8273.03,8364.86,76.404394
1594231200000,8364.44,8400.5,8324.15,8377.35,18.347992
1594252800000,8373.51,8381.23,8301.02,8301.68,8.161746
1594274400000,8301.44,8366.41,8301.44,8350.85,28.729414
1594296000000,8349.8,8378.69,8150.0,8187.03,49.464492
1594317600000,8199.81,8275.47,8187.0,8224.8,17.773681
1594339200000,8223.07,8237.45,8140.62,8160.26,10.377245
1594360800000,8156.72,8222.37,8150.06,8161.69,46.899038
1594382400000,8166.23,8223.97,8147.56,8205.14,46.741396
1594404000000,8198.6,8287.32,8189.61,8264.07,14.720583
1594425600000,8260.49,8279.68,8226.57,8245.09,11.849207
1594447200000,8250.37,8276.29,8168.5,8196.19,14.697494
1594468800000,8189.29,8233.33,8170.51,8200.69,18.186516
1594490400000,8204.65,8241.17,8175.98,8218.95,10.087184
1594512000000,8223.19,8268.0,8207.66,8252.1,11.505819
